video,ground_truth,predicted,confidence_fake,inference_time_sec
01_02__walk_down_hall_angry__YVGY8LOK.mp4,1,1,0.9947107404470443,4.17
01_03__podium_speech_happy__480LQD1C.mp4,1,1,0.9942928522825241,4.92
01_03__hugging_happy__ISF9SP4G.mp4,1,1,0.8841098092030734,4.78
01_02__outside_talking_still_laughing__YVGY8LOK.mp4,1,1,0.909934201836586,5.85
01_11__meeting_serious__9OM3VE0Y.mp4,1,0,0.4424607200315222,4.53
01_03__talking_against_wall__JZUXXFRB.mp4,1,1,0.9836249470710754,4.18
01_11__secret_conversation__4OJNJLOO.mp4,1,1,0.6025607444345951,7.99
01_20__outside_talking_pan_laughing__OTGHOG4Z.mp4,1,1,0.8910348668694497,5.01
01_11__talking_against_wall__9229VVZ3.mp4,1,1,0.9998399972915649,5.39
01_20__outside_talking_still_laughing__FW94AIMJ.mp4,1,1,0.8954052768647671,4.99
01_11__walking_outside_cafe_disgusted__FAFWDR4W.mp4,1,1,0.9854093253612518,5.26
01_12__outside_talking_pan_laughing__TNI7KUZ6.mp4,1,1,0.8381973186973483,5.59
01_21__walk_down_hall_angry__03X7CELV.mp4,1,1,0.9993852943181991,4.19
01_27__outside_talking_still_laughing__ZYCZ30C0.mp4,1,1,0.7997559793293476,5.9
01_27__hugging_happy__ZYCZ30C0.mp4,1,1,0.9177268922328949,4.77
02_01__secret_conversation__YVGY8LOK.mp4,1,1,0.7621421111747623,6.19
01_27__walking_outside_cafe_disgusted__ZYCZ30C0.mp4,1,1,0.9752941220998764,5.55
02_03__walking_outside_cafe_disgusted__QH3Y0IG0.mp4,1,1,0.9776225119829178,4.52
02_03__walking_down_street_outside_angry__QH3Y0IG0.mp4,1,1,0.8080176986753941,6.94
02_06__podium_speech_happy__N8OSN8P6.mp4,1,1,0.8227791264653206,4.2
02_07__walk_down_hall_angry__U7DEOZNV.mp4,1,1,0.9991575926542282,5.06
02_07__meeting_serious__1JCLEEBQ.mp4,1,0,0.3365399059606716,5.03
02_07__walking_down_street_outside_angry__O4SXNLRL.mp4,1,1,0.9903894603252411,5.52
02_09__kitchen_pan__HIH8YA82.mp4,1,1,0.9504848822951317,6.06
02_09__exit_phone_room__HIH8YA82.mp4,1,1,0.9802374124526978,4.21
02_13__podium_speech_happy__2YSYT2N3.mp4,1,1,0.8795251291245222,4.34
02_13__exit_phone_room__CP5HFV3K.mp4,1,1,0.9987489402294158,5.18
02_14__outside_talking_pan_laughing__3IUBEKCT.mp4,1,1,0.9115793973207473,4.62
02_12__podium_speech_happy__9D2ZHEKW.mp4,1,1,0.6413426486833487,5.22
02_13__secret_conversation__CP5HFV3K.mp4,1,1,0.94956374168396,1.12
02_13__outside_talking_pan_laughing__2YSYT2N3.mp4,1,1,0.8741423668339848,4.59
02_15__outside_talking_pan_laughing__I8G2LWD1.mp4,1,1,0.8085760492831469,5.15
02_15__talking_against_wall__HTG660F8.mp4,1,1,0.9482339352369309,5.04
02_15__outside_talking_pan_laughing__SB6PMCO0.mp4,1,1,0.8369577653706074,4.57
02_15__exit_phone_room__I8G2LWD1.mp4,1,1,0.9876328140497208,5.42
02_15__secret_conversation__MZWH8ATN.mp4,1,1,0.9872440844774246,1.13
02_15__exit_phone_room__MZWH8ATN.mp4,1,1,0.9995790660381317,4.17
02_15__walk_down_hall_angry__TN2CWM3K.mp4,1,1,0.9968477815389634,4.14
02_18__walking_down_street_outside_angry__21JTDDEL.mp4,1,1,0.868214200437069,6.38
02_18__outside_talking_pan_laughing__OXMEEFUQ.mp4,1,1,0.9356933265924454,4.73
02_18__exit_phone_room__OXMEEFUQ.mp4,1,1,0.9983692467212677,5.47
02_21__kitchen_pan__Z0XHPQAR.mp4,1,1,0.9882469177246094,5.78
02_27__hugging_happy__GVFLSZD5.mp4,1,1,0.8375659337732941,5.53
02_25__talking_against_wall__Z7FQ69VP.mp4,1,1,0.9601710557937622,4.25
02_27__walk_down_hall_angry__78M8S6M6.mp4,1,1,0.9762795120477676,4.33
03_04__outside_talking_pan_laughing__T04P6ELC.mp4,1,1,0.5284210601646919,5.87
03_06__meeting_serious__83ABVHC3.mp4,1,0,0.17178886011242867,4.47
03_06__podium_speech_happy__83ABVHC3.mp4,1,1,0.840046114847064,4.41
03_07__walk_down_hall_angry__6PHZRQ4H.mp4,1,1,0.9973793715238571,5.17
03_07__walk_down_hall_angry__IFSURI9X.mp4,1,1,0.997810572385788,4.25
03_07__walking_outside_cafe_disgusted__IFSURI9X.mp4,1,1,0.9120536386966706,5.68
03_09__secret_conversation__RCETIXYL.mp4,1,1,0.621820441633463,5.71
03_07__walking_outside_cafe_disgusted__CDSNLDQ8.mp4,1,1,0.7727883201092481,4.65
03_07__walking_outside_cafe_disgusted__PWXXULHR.mp4,1,1,0.6597159282071516,5.86
03_09__outside_talking_still_laughing__RCETIXYL.mp4,1,1,0.6861476755701006,4.35
03_13__meeting_serious__GBYWJW06.mp4,1,0,0.16455036215484142,5.15
03_13__meeting_serious__T3MZOI8X.mp4,1,0,0.2097953193821013,5.37
03_13__kitchen_pan__GBYWJW06.mp4,1,1,0.9869094520807267,4.53
03_11__exit_phone_room__P08VGHTA.mp4,1,1,0.9603621035814285,5.69
03_11__talking_against_wall__P08VGHTA.mp4,1,1,0.8867373272776604,4.13
03_14__walking_down_street_outside_angry__H0VQHGS3.mp4,1,1,0.8243505820631981,5.59
03_14__talking_against_wall__ZC2KYASW.mp4,1,1,0.9999634593725204,4.85
03_13__outside_talking_still_laughing__GBYWJW06.mp4,1,1,0.9053606417030096,4.43
03_14__podium_speech_happy__Q9NSXM88.mp4,1,1,0.9927728056907654,5.37
03_14__walk_down_hall_angry__P1L5PF4I.mp4,1,1,0.8945586904883385,4.35
03_15__podium_speech_happy__DG8ITQO3.mp4,1,1,0.9950201660394669,4.34
03_15__outside_talking_still_laughing__DNUJD8M2.mp4,1,1,0.7780809188261628,5.5
03_15__outside_talking_pan_laughing__Y11NT1YX.mp4,1,1,0.6689669960294851,4.53
03_15__kitchen_pan__DNUJD8M2.mp4,1,1,0.9977807879447937,4.85
03_15__kitchen_pan__AIOM1U5V.mp4,1,1,0.9994145214557648,5.34
03_21__exit_phone_room__YCSEBZO4.mp4,1,1,0.9974840760231019,4.47
03_18__walking_outside_cafe_disgusted__22UBC0BS.mp4,1,1,0.8432378083467483,5.84
03_21__meeting_serious__V53E3RVB.mp4,1,0,0.19623439419083297,4.45
03_26__kitchen_still__WBSXBL82.mp4,1,1,0.9995117604732513,4.84
